text,text_pair,label
['What is the name of the village 9 miles north of Calafat where the Ottoman forces attacked the Russians?'],"['On 31 December 1853, the Ottoman forces at Calafat moved against the Russian force at Chetatea or Cetate, a small village nine miles north of Calafat, and engaged them on 6 January 1854.']",[1]
['How were the Portuguese expelled from Myanmar?'],"['From the 1720s onward, the kingdom was beset with repeated Meithei raids into Upper Myanmar and a nagging rebellion in Lan Na.']",[0]
['In Chinese Buddhism what meditation is more popular?'],"[""According to Routledge's Encyclopedia of Buddhism, in contrast, throughout most of Buddhist history before modern times, serious meditation by lay people has been unusual.""]",[0]
['How many alumni does Olin Business School have worldwide?'],"['Olin has a network of more than 16,000 alumni worldwide.']",[1]
['The most popular early Marvel heroes were collectively and colloquially known as what?'],"['While no other Timely character would achieve the success of these ""big three"", some notable heroes—many of which continue to appear in modern-day retcon appearances and flashbacks—include the Whizzer, Miss America, the Destroyer, the original Vision, and the Angel.']",[1]
['What was the former 10-year moratorium on the construction of nuclear plants the result of?'],"[""The former ten-year moratorium on the construction of new nuclear power plants was the result of a citizens' initiative voted on in 1990 which had passed with 54.5%""]",[1]
['What was the name of the airport the United States built on Ascension Island?'],['A local industry manufacturing fibre from New Zealand flax was successfully reestablished in 1907 and generated considerable income during the First World War.'],[0]
['What kind of books did housebuilders use?'],['Vernacular architecture became increasingly ornamental.'],[0]
"[""What is Oklahoma's largest school district?""]","[""Oklahoma City is home to the state's largest school district, Oklahoma City Public Schools.""]",[1]
['What rank provided its holder territorial rule?'],['Each successive rank gave its holder greater pensions and legal privileges.'],[0]
"[""Who has the majority of the seats in Bern's City Council?""]",['The last election was held on 25 November 2012.'],[0]
"[""What magazine covers Ann Arbor's local businesses?""]",['The Ann Arbor Business Review covers local business in the area.'],[1]
['What are the main distinctive features of Islamic architecture?'],"['Distinguishing motifs of Islamic architecture have always been ordered repetition, radiating structures, and rhythmic, metric patterns.']",[1]
['How are larger value capacitors often constructed?'],['Larger values can be made by multiple stacks of plates and disks.'],[1]
['When did Mawson retire after leading several expeditions?'],"['One month later, the doomed Scott Expedition reached the pole.']",[0]
['What does MYS stand for?'],['Life expectancy at birth'],[0]
"['Whose infant daugheters both died, leaving him without an heir to the throne of England?']","['At birth, Victoria was fifth in the line of succession after her father and his three older brothers: the Prince Regent, the Duke of York, and the Duke of Clarence (later William IV).']",[1]
"['Along with being carved, how were altarpieces often decorated in this period?']","['Painted or carved wooden relief altarpieces became common, especially as churches created many side-chapels.']",[1]
['Who handles serious medical emergencies on Norfolk Island?'],"['For serious emergencies, medical evacuations are provided by the Royal Australian Air Force.']",[1]
"['What is the term used to describe the ""Right to collect revenue""?']",['The development of New Imperialism saw the conquest of nearly all eastern hemisphere territories by colonial powers.'],[0]
['In what city is the Miami Amtrak Station?'],['The Miami Amtrak Station is located in the suburb of Hialeah near the Tri-Rail/Metrorail Station on NW 79 St and NW 38 Ave.'],[1]
['What is ghapama?'],['Arguably the favorite food is khorovats an Armenian-styled barbecue.'],[0]
['How many divisions involved in the Allied invasion of Europe did Eisenhower visit?'],['This prompted him to make a point of visiting every division involved in the invasion.'],[1]
"[""The first Ranger mission that didn't fail was which one?""]",['The first successful Ranger mission was the 806-pound'],[0]
['how do isps provide internet access?'],"['Available technologies have ranged from computer modems with acoustic couplers to telephone lines, to television cable (CATV), wireless Ethernet (wi-fi), and fiber optics.']",[0]
['How did hackers release their software for running Windows on Macs?'],['The group released their software as open source and has posted it for download on their website.'],[1]
['What do the Orthodox believe Mary remained to be before and after she gave birth to Christ?'],"['She is also proclaimed as the ""Lady of the Angels"".']",[0]
['What allies did Nasser meet at the Academy?'],"['At the academy, he met Abdel Hakim Amer and Anwar Sadat, both of whom became important aides during his presidency.']",[0]
['Neo-classical music emerged during what era?'],['The high-modern era saw the emergence of neo-classical and serial music.'],[1]
['How many Buddhas are considered to have existed in the Pali Canon?'],['Buddhists do not consider Siddhartha Gautama to have been the only Buddha.'],[0]
['Where is there a growing presence of Theravada?'],"['Theravāda is primarily practiced today in Sri Lanka, Burma, Laos, Thailand, Cambodia as well as small portions of China, Vietnam, Malaysia and Bangladesh.']",[0]
"['Along with Roger Miller and Barbra Streisand, who was a successful Easy Listening artist in this era?']","[""Roger Miller, Barbra Streisand and Bobby Vinton were among the chart's most popular performers.""]",[1]
['What is a major threat to migratory birds?'],"['Threats to migratory birds have grown with habitat destruction especially of stopover and wintering sites, as well as structures such as power lines and wind farms.']",[1]
"[""What sector puts up most of Southampton's economic contribution?""]","['The vast majority of this is from the service sector, with the remainder coming from industry in the city.']",[1]
['What was a result of these marriages?'],"['It imposed a system of legal racial segregation, a complex of laws known as apartheid.']",[0]
['Alexander the Great was the emperor of what?'],"[""After Alexander the Great's ventures in the Persian Empire, Hellenistic kingdoms were established throughout south-west Asia (Seleucid Empire, Kingdom of Pergamon), north-east Africa (Ptolemaic Kingdom) and South Asia (Greco-Bactrian Kingdom, Indo-Greek Kingdom).""]",[1]
['What borough is Six Flags Mexico located?'],"[""During the winter, the main square of the Zócalo is transformed into a gigantic ice skating rink, which is said to be the largest in the world behind that of Moscow's Red Square.""]",[0]
['What areas does the Brown School Library have represented scholars?'],"['The school has many nationally and internationally acclaimed scholars in social security, health care, health disparities, communication, social and health policy, and individual and family development.']",[1]
['What areas do at-large council members represent?'],['The original city council line-up of 14 members (nine district-based and five at-large positions) was based on a U.S. Justice Department mandate which took effect in 1979.'],[0]
['What did the ancient Greeks call the people that lived in the British Isles?'],"['Along these lines, the inhabitants of the islands were called the Πρεττανοί (Priteni or Pretani).']",[1]
['What older system did the British naval use?'],"['British naval missiles used included Sea Dart and the older Sea Slug longer range systems, Sea Cat and the new Sea Wolf short range systems.']",[1]
['What caused the sea to rise during the Jurassic?'],"['Furthermore, Pangaea began to rift into smaller divisions, bringing more land area in contact with the ocean by forming the Tethys Sea.']",[0]
"[""What is the name of the world's 12 largest metro system by length?""]","[""Delhi Metro is the world's 12th largest metro system in terms of length.""]",[0]
['How many women are members of the Sweet Adelines?'],"[""In 1953 Sweet Adelines became an international organization, although it didn't change its name to Sweet Adelines International until 1991.""]",[0]
"['To where are the loyal sons in ""Notre Dame Fight Song"" marching?']","['While her loyal sons are marching, onward to victory!""']",[1]
['What do the other six questions asses?'],"['Six of these questions assess sexual attraction, four assess sexual behavior, and two assess sexual orientation identity.']",[1]
"[""What is one room in RIBA's headquarters that can be visited by the public?""]","['Parts of the London building are open to the public, including the Library.']",[1]
['What languages do Tibetans in Sichuan speak?'],"['Tibetans speak the Khams and Amdo Tibetan, which are Tibetic languages, as well as various Qiangic languages.']",[1]
['How many Chinese Americans lived in Boston City proper in 2013?'],"['The city and greater area also has a growing immigrant population of South Asians, including the tenth-largest Indian community in the country.']",[0]
['What are the only airside locations where filming is allowed?'],"['However airside, filming is heavily restricted, the only airside locations where filming is permitted are the Departure Lounge and some outside areas.']",[1]
['How large is the Planalto?'],['The main working office of the President of the Republic is in the Palácio do Planalto.'],[0]
['What is the name of the art museum in Detroit?'],"['These museums include the Detroit Institute of Arts, the Detroit Historical Museum, Charles H. Wright Museum of African American History, the Detroit Science Center, as well as the main branch of the Detroit Public Library.']",[1]
"[""Besides boarding bridges, what also doubled in 2014 at Brasilia's airport?""]","['In 2014, the airport received 15 new boarding bridges, totalling 28 in all.']",[0]
['In what experimental contexts are experiments being carried out on minimal genomes?'],['The work is both in vivo and in silico.'],[1]
"['Rousseau argued for a society based on what, rather than faith?']","['The philosophic movement was led by Voltaire and Jean-Jacques Rousseau, who argued for a society based upon reason rather than faith and Catholic doctrine, for a new civil order based on natural law, and for science based on experiments and observation.']",[1]
['What river forms a natural border between Montevideo and San Jose Department?'],"[""To the city's north and east is Canelones Department, with the stream of Carrasco forming the eastern natural border.""]",[0]
['In what treatise did negative numbers first appear?'],"['Negative numbers first appeared in the Nine Chapters on the Mathematical Art as black counting rods, where positive numbers were represented by red counting rods.']",[1]
['What did Lok-Ham Chan claim  Changchub Gyaltsen wanted to remove?'],"['However, Lok-Ham Chan, a professor of history at the University of Washington, writes that Changchub Gyaltsen\'s aims were to recreate the old Tibetan Kingdom that existed during the Chinese Tang dynasty, to build ""nationalist sentiment"" amongst Tibetans, and to ""remove all traces of Mongol suzerainty.""']",[1]
"[""How high did ''Deja Vu'' climb on the Billboard chart?""]","['The album\'s lead single ""Déjà Vu"", featuring Jay Z, reached the top five on the Billboard Hot 100 chart.']",[1]
"[""What was the title of Madonna's Book?""]","['Mark Bego, author of Madonna: Blonde Ambition, called her ""the perfect vocalist for lighter-than-air songs"", despite not being a ""heavyweight talent.""']",[1]
['Which Iranian cardiologist developed and invented the first artificial cardiac pump?'],"['Tofy Mussivand invented and developed the first artificial cardiac pump, the precursor of the artificial heart.']",[1]
['What was the first model to support JPEG and other still image formats?'],"['MIDI files also cannot be played, but can be converted to audio files using the ""Advanced"" menu in iTunes.']",[0]
['What types of churches have had rapidly declining memberships?'],"['There are also ecumenical bodies at regional, national and local levels across the globe; but schisms still far outnumber unifications.']",[0]
['The failed coup caused what effects?'],"['In the aftermath of the failed coup, militias loyal to Patassé sought revenge against rebels in many neighborhoods of Bangui and incited unrest including the murder of many political opponents.']",[1]
['The typic Swiss chalet originated from where?'],"['The kitchen is separated from the living area (called the stube, the area of the home heated by a stove), and second-floor bedrooms benefit from rising heat.']",[0]
['What is the target age range of Hot AC stations?'],"['This format often includes dance-pop (such as upbeat songs by Madonna, Cher, Gloria Estefan and Kylie Minogue), power pops (mainly by boybands such as Backstreet Boys and Westlife), and adult-oriented soft rock music that are ballad-driven (typically by Aerosmith[citation needed], The Eagles, Sting, Toto and The Moody Blues).']",[0]
