text,text_pair,label
['What is the minimum required if you want to teach in Canada?'],"[""In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.""]",[0]
['What does UMC stand for?'],"['Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.']",[0]
"[""Where did Temüjin hide during his escape from the Tayichi'ud?""]","[""Temüjin's reputation also became widespread after his escape from the Tayichi'ud.""]",[0]
['What act sets forth the functions of the Scottish Parliament?'],"['The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.']",[1]
"[""What is the name for a response of the immune system that damages the body's native tissues?""]","[""Hypersensitivity is an immune response that damages the body's own tissues.""]",[1]
['What is one of the largest music schools in Europe?'],"['Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.']",[1]
['Who was the mayor of San Francisco during Super Bowl 50?'],"['San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave"".']",[1]
['When did Tesla move to New York City?'],"['In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment.']",[0]
['What happened to his lab?'],"['His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.']",[1]
['For about how long would the extended LM allow a surface stay on the moon?'],['The Lunar Module (LM) was designed to descend from lunar orbit to land two astronauts on the Moon and take them back to orbit to rendezvous with the Command Module.'],[0]
['What was the population of the Dutch Republic before this emigration?'],['This was a huge influx as the entire population of the Dutch Republic amounted to ca.'],[0]
['What eventually happened to the Block I program after the incident?'],"['Crew members would also exclusively wear modified, fire-resistant Block II space suits, and would be designated by the Block II titles, regardless of whether a LM was present on the flight or not.']",[0]
['What causes rock extension?'],['This is primarily accomplished through normal faulting and through the ductile stretching and thinning.'],[1]
['Who painted the retable of St. George that is in the V&A collection?'],"['One of the largest objects in the collection is the Spanish tempera on wood, 670 x 486 cm, retable of St George, c. 1400, consisting of numerous scenes and painted by Andrés Marzal De Sax in Valencia.']",[1]
['Who did the BBC work with to reconstruct some of The Invasion episodes?'],"[""The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.""]",[1]
['When were Luther and his prospective bride engaged?'],"['The ceremonial walk to the church and the wedding banquet were left out, and were made up two weeks later on 27 June.']",[0]
['Where was war fought?'],"['The war was fought primarily along the frontiers between New France and the British colonies, from Virginia in the South to Nova Scotia in the North.']",[1]
